Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,51093,574,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.7723594344419915,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51094,574,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.002601279537480059,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51095,574,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.0071326644254375,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51096,575,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.509398356826748,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51097,575,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.536252661376895,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51098,575,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.0720027333182225,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51099,575,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.184428229954852,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51100,575,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.746221708128776,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51101,576,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.308015186383973,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51102,576,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.862367691335812,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51103,576,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.14097586241142215,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51104,576,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.2720037920626268,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51105,576,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.8747226229945886,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51106,577,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.1322470974090404,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51107,577,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.7796117676694463,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51108,577,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.044577215305983,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51109,577,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.658457506026371,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51110,577,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.253735363736248,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51111,578,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.5583869410485183,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51112,578,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.1462238255403745,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51113,578,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.325618081171702,prerecorded,open_loop_prerecorded
